,primary_photo,last_update_date,source,tags,permalink,status,list_date,open_houses,description,branding,list_price,lead_attributes,property_id,photos,flags,community,products,virtual_tours,other_listings,listing_id,price_reduced_amount,location,matterport
0,{'href': 'https://ap.rdcpix.com/40048e4a9e042d970b6772ff6248f2eal-m1245255348s-w1024_h768.jpg'},2021-03-19T12:07:12Z,"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}",,19497-Glendale-St_Detroit_MI_48223_M95086-89487,for_sale,2021-03-10T19:07:29Z,,"{'baths_3qtr': None, 'year_built': None, 'sold_price': None, 'baths_full': None, 'name': None, 'baths_half': None, 'lot_sqft': 159865, 'sqft': None, 'baths': 0, 'sub_type': None, 'baths_1qtr': None, 'garage': None, 'stories': None, 'beds': None, 'type': 'land'}","[{'name': 'RE/MAX Team 2000', 'photo': None, 'type': 'Office'}]",399900,{'show_contact_an_agent': True},9508689487,"[{'tags': [{'label': 'road_view', 'probability': 0.83899426460266}, {'label': 'water_front', 'probability': 0.087822005152702}, {'label': 'farm_land', 'probability': 0.069740153849125}], 'href': 'https://ap.rdcpix.com/40048e4a9e042d970b6772ff6248f2eal-m1245255348s-w1024_h768.jpg'}, {'tags': [{'label': 'road_view', 'probability': 0.99987494945526}, {'label': 'water_front', 'probability': 9.4857379735913e-05}, {'label': 'farm_land', 'probability': 2.5168237698381e-05}], 'href': 'https://ap.rdcpix.com/40048e4a9e042d970b6772ff6248f2eal-m2727630192s-w1024_h768.jpg'}, {'tags': [{'label': 'unknown', 'probability': 0.98755824565887}, {'label': 'road_view', 'probability': 0.010295760817826}, {'label': 'floor_plan', 'probability': 0.0019401855533943}], 'href': 'https://ap.rdcpix.com/40048e4a9e042d970b6772ff6248f2eal-m3264541828s-w1024_h768.jpg'}, {'tags': [{'label': 'floor_plan', 'probability': 0.78191041946411}, {'label': 'unknown', 'probability': 0.21794597804546}, {'label': 'farm_land', 'probability': 6.1014987295493e-05}], 'href': 'https://ap.rdcpix.com/40048e4a9e042d970b6772ff6248f2eal-m793570248s-w1024_h768.jpg'}]","{'is_new_construction': None, 'is_for_rent': None, 'is_subdivision': None, 'is_contingent': None, 'is_price_reduced': None, 'is_pending': None, 'is_foreclosure': None, 'is_plan': None, 'is_coming_soon': None, 'is_new_listing': False}",,{'brand_name': 'basic_opt_in'},,"{'rdc': [{'listing_id': '2926848070', 'listing_key': None, 'status': 'for_sale', 'primary': True}]}",2926848070,,"{'address': {'postal_code': '48223', 'state': 'Michigan', 'coordinate': {'lon': -83.233892, 'lat': 42.381201}, 'city': 'Detroit', 'state_code': 'MI', 'line': '19497 Glendale St'}, 'street_view_url': 'https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=19497%20Glendale%20St%2C%20Detroit%2C%20MI%2048223&size=640x480&source=outdoor&signature=GLVQ9wJaxlTkh2ul8ckgAYwiQUA=', 'county': {'fips_code': '26163', 'name': 'Wayne'}}",False
1,{'href': 'https://ap.rdcpix.com/e4c6b7f48a325e7b5b9bb3d3e8d4c232l-m2013946405s-w1024_h768.jpg'},2021-02-24T21:18:04Z,"{'plan_id': None, 'agents': [{'office_name': None}], 'spec_id': None, 'type': 'mls'}",,5760-Van-Dyke-St_Detroit_MI_48213_M46333-02921,for_sale,2021-02-25T02:22:08Z,,"{'baths_3qtr': None, 'year_built': None, 'sold_price': None, 'baths_full': None, 'name': None, 'baths_half': None, 'lot_sqft': 3485, 'sqft': None, 'baths': 0, 'sub_type': None, 'baths_1qtr': None, 'garage': None, 'stories': None, 'beds': None, 'type': 'land'}","[{'name': 'Keller Williams Legacy', 'photo': None, 'type': 'Office'}]",5000,{'show_contact_an_agent': True},4633302921,"[{'tags': [{'label': 'road_view', 'probability': 0.52020251750946}, {'label': 'house_view', 'probability': 0.28335511684418}, {'label': 'water_front', 'probability': 0.17110420763493}], 'href': 'https://ap.rdcpix.com/e4c6b7f48a325e7b5b9bb3d3e8d4c232l-m2013946405s-w1024_h768.jpg'}, {'tags': [{'label': 'floor_plan', 'probability': 0.80713361501694}, {'label': 'road_view', 'probability': 0.08632230758667}, {'label': 'unknown', 'probability': 0.060426339507103}], 'href': 'https://ap.rdcpix.com/e4c6b7f48a325e7b5b9bb3d3e8d4c232l-m102465288s-w1024_h768.jpg'}, {'tags': [{'label': 'floor_plan', 'probability': 0.96064251661301}, {'label': 'unknown', 'probability': 0.012149572372437}, {'label': 'pool', 'probability': 0.011727851815522}], 'href': 'https://ap.rdcpix.com/e4c6b7f48a325e7b5b9bb3d3e8d4c232l-m1357918555s-w1024_h768.jpg'}]","{'is_new_construction': None, 'is_for_rent': None, 'is_subdivision': None, 'is_contingent': None, 'is_price_reduced': None, 'is_pending': None, 'is_foreclosure': None, 'is_plan': None, 'is_coming_soon': None, 'is_new_listing': False}",,{'brand_name': 'essentials'},,"{'rdc': [{'listing_id': '2926339791', 'listing_key': None, 'status': 'for_sale', 'primary': True}]}",2926339791,,"{'address': {'postal_code': '48213', 'state': 'Michigan', 'coordinate': {'lon': -83.016514, 'lat': 42.381884}, 'city': 'Detroit', 'state_code': 'MI', 'line': '5760 Van Dyke St'}, 'street_view_url': 'https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5760%20Van%20Dyke%20St%2C%20Detroit%2C%20MI%2048213&size=640x480&source=outdoor&signature=J5w37ZTvzc_tTLE_V570Uq_7sRw=', 'county': {'fips_code': '26163', 'name': 'Wayne'}}",False
2,{'href': 'https://ap.rdcpix.com/899e6dbe68311bc604918a968f4a8c9al-m3962947970s-w1024_h768.jpg'},2021-02-24T20:53:29Z,"{'plan_id': None, 'agents': [{'office_name': None}], 'spec_id': None, 'type': 'mls'}",,5786-Van-Dyke-St_Detroit_MI_48213_M46332-65655,for_sale,2021-02-25T01:55:43Z,,"{'baths_3qtr': None, 'year_built': None, 'sold_price': None, 'baths_full': None, 'name': None, 'baths_half': None, 'lot_sqft': 3485, 'sqft': None, 'baths': 0, 'sub_type': None, 'baths_1qtr': None, 'garage': None, 'stories': None, 'beds': None, 'type': 'land'}","[{'name': 'Keller Williams Legacy', 'photo': None, 'type': 'Office'}]",5000,{'show_contact_an_agent': True},4633265655,"[{'tags': [{'label': 'house_view', 'probability': 0.69790601730347}, {'label': 'road_view', 'probability': 0.23382480442524}, {'label': 'water_front', 'probability': 0.048937685787678}], 'href': 'https://ap.rdcpix.com/899e6dbe68311bc604918a968f4a8c9al-m3962947970s-w1024_h768.jpg'}, {'tags': [{'label': 'floor_plan', 'probability': 0.80713361501694}, {'label': 'road_view', 'probability': 0.08632230758667}, {'label': 'unknown', 'probability': 0.060426339507103}], 'href': 'https://ap.rdcpix.com/899e6dbe68311bc604918a968f4a8c9al-m102465288s-w1024_h768.jpg'}, {'tags': [{'label': 'floor_plan', 'probability': 0.96064251661301}, {'label': 'unknown', 'probability': 0.012149572372437}, {'label': 'pool', 'probability': 0.011727851815522}], 'href': 'https://ap.rdcpix.com/899e6dbe68311bc604918a968f4a8c9al-m1357918555s-w1024_h768.jpg'}]","{'is_new_construction': None, 'is_for_rent': None, 'is_subdivision': None, 'is_contingent': None, 'is_price_reduced': None, 'is_pending': None, 'is_foreclosure': None, 'is_plan': None, 'is_coming_soon': None, 'is_new_listing': False}",,{'brand_name': 'essentials'},,"{'rdc': [{'listing_id': '2926339277', 'listing_key': None, 'status': 'for_sale', 'primary': True}]}",2926339277,,"{'address': {'postal_code': '48213', 'state': 'Michigan', 'coordinate': {'lon': -83.016779, 'lat': 42.382255}, 'city': 'Detroit', 'state_code': 'MI', 'line': '5786 Van Dyke St'}, 'street_view_url': 'https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5786%20Van%20Dyke%20St%2C%20Detroit%2C%20MI%2048213&size=640x480&source=outdoor&signature=flTttQQIiIYPdIzE3uh66YqrcJU=', 'county': {'fips_code': '26163', 'name': 'Wayne'}}",False
3,{'href': 'https://ap.rdcpix.com/a9fd567c8d90d9afa2aff808296a81cbl-m3722752846s-w1024_h768.jpg'},2021-02-24T20:58:00Z,"{'plan_id': None, 'agents': [{'office_name': None}], 'spec_id': None, 'type': 'mls'}",,5780-Van-Dyke-St_Detroit_MI_48213_M46334-51985,for_sale,2021-02-25T02:01:41Z,,"{'baths_3qtr': None, 'year_built': None, 'sold_price': None, 'baths_full': None, 'name': None, 'baths_half': None, 'lot_sqft': 3485, 'sqft': None, 'baths': 0, 'sub_type': None, 'baths_1qtr': None, 'garage': None, 'stories': None, 'beds': None, 'type': 'land'}","[{'name': 'Keller Williams Legacy', 'photo': None, 'type': 'Office'}]",5000,{'show_contact_an_agent': True},4633451985,"[{'tags': [{'label': 'road_view', 'probability': 0.50682491064072}, {'label': 'water_front', 'probability': 0.25248077511787}, {'label': 'house_view', 'probability': 0.14193171262741}], 'href': 'https://ap.rdcpix.com/a9fd567c8d90d9afa2aff808296a81cbl-m3722752846s-w1024_h768.jpg'}, {'tags': [{'label': 'floor_plan', 'probability': 0.80713361501694}, {'label': 'road_view', 'probability': 0.08632230758667}, {'label': 'unknown', 'probability': 0.060426339507103}], 'href': 'https://ap.rdcpix.com/a9fd567c8d90d9afa2aff808296a81cbl-m102465288s-w1024_h768.jpg'}, {'tags': [{'label': 'floor_plan', 'probability': 0.96064251661301}, {'label': 'unknown', 'probability': 0.012149572372437}, {'label': 'pool', 'probability': 0.011727851815522}], 'href': 'https://ap.rdcpix.com/a9fd567c8d90d9afa2aff808296a81cbl-m1357918555s-w1024_h768.jpg'}]","{'is_new_construction': None, 'is_for_rent': None, 'is_subdivision': None, 'is_contingent': None, 'is_price_reduced': None, 'is_pending': None, 'is_foreclosure': None, 'is_plan': None, 'is_coming_soon': None, 'is_new_listing': False}",,{'brand_name': 'essentials'},,"{'rdc': [{'listing_id': '2926339360', 'listing_key': None, 'status': 'for_sale', 'primary': True}]}",2926339360,,"{'address': {'postal_code': '48213', 'state': 'Michigan', 'coordinate': {'lon': -83.016724, 'lat': 42.382178}, 'city': 'Detroit', 'state_code': 'MI', 'line': '5780 Van Dyke St'}, 'street_view_url': 'https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5780%20Van%20Dyke%20St%2C%20Detroit%2C%20MI%2048213&size=640x480&source=outdoor&signature=NKt375kOY7iIdWGSX2Uv1dsr7nA=', 'county': {'fips_code': '26163', 'name': 'Wayne'}}",False
4,{'href': 'https://ap.rdcpix.com/f05666c1216e29139dae2a5014456dc7l-m1989350281s-w1024_h768.jpg'},2021-02-24T21:23:36Z,"{'plan_id': None, 'agents': [{'office_name': None}], 'spec_id': None, 'type': 'mls'}",,5756-Van-Dyke-St_Detroit_MI_48213_M46331-16591,for_sale,2021-02-25T02:25:33Z,,"{'baths_3qtr': None, 'year_built': None, 'sold_price': None, 'baths_full': None, 'name': None, 'baths_half': None, 'lot_sqft': 3485, 'sqft': None, 'baths': 0, 'sub_type': None, 'baths_1qtr': None, 'garage': None, 'stories': None, 'beds': None, 'type': 'land'}","[{'name': 'Keller Williams Legacy', 'photo': None, 'type': 'Office'}]",5000,{'show_contact_an_agent': True},4633116591,"[{'tags': [{'label': 'road_view', 'probability': 0.94405901432037}, {'label': 'water_front', 'probability': 0.03875894099474}, {'label': 'house_view', 'probability': 0.011146458797157}], 'href': 'https://ap.rdcpix.com/f05666c1216e29139dae2a5014456dc7l-m1989350281s-w1024_h768.jpg'}, {'tags': [{'label': 'floor_plan', 'probability': 0.80713361501694}, {'label': 'road_view', 'probability': 0.08632230758667}, {'label': 'unknown', 'probability': 0.060426339507103}], 'href': 'https://ap.rdcpix.com/f05666c1216e29139dae2a5014456dc7l-m102465288s-w1024_h768.jpg'}, {'tags': [{'label': 'floor_plan', 'probability': 0.96064251661301}, {'label': 'unknown', 'probability': 0.012149572372437}, {'label': 'pool', 'probability': 0.011727851815522}], 'href': 'https://ap.rdcpix.com/f05666c1216e29139dae2a5014456dc7l-m1357918555s-w1024_h768.jpg'}]","{'is_new_construction': None, 'is_for_rent': None, 'is_subdivision': None, 'is_contingent': None, 'is_price_reduced': None, 'is_pending': None, 'is_foreclosure': None, 'is_plan': None, 'is_coming_soon': None, 'is_new_listing': False}",,{'brand_name': 'essentials'},,"{'rdc': [{'listing_id': '2926339854', 'listing_key': None, 'status': 'for_sale', 'primary': True}]}",2926339854,,"{'address': {'postal_code': '48213', 'state': 'Michigan', 'coordinate': {'lon': -83.016461, 'lat': 42.381812}, 'city': 'Detroit', 'state_code': 'MI', 'line': '5756 Van Dyke St'}, 'street_view_url': 'https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5756%20Van%20Dyke%20St%2C%20Detroit%2C%20MI%2048213&size=640x480&source=outdoor&signature=h_14VBlMg68U13O1bhzOEVdFMwU=', 'county': {'fips_code': '26163', 'name': 'Wayne'}}",False
5,{'href': 'https://ap.rdcpix.com/0d7abf86349dbdf13b24314ede04d3d2l-m1473194658s-w1024_h768.jpg'},2021-02-24T21:13:42Z,"{'plan_id': None, 'agents': [{'office_name': None}], 'spec_id': None, 'type': 'mls'}",,5764-Van-Dyke-St_Detroit_MI_48213_M46331-91123,for_sale,2021-02-25T02:16:51Z,,"{'baths_3qtr': None, 'year_built': None, 'sold_price': None, 'baths_full': None, 'name': None, 'baths_half': None, 'lot_sqft': 3485, 'sqft': None, 'baths': 0, 'sub_type': None, 'baths_1qtr': None, 'garage': None, 'stories': None, 'beds': None, 'type': 'land'}","[{'name': 'Keller Williams Legacy', 'photo': None, 'type': 'Office'}]",5000,{'show_contact_an_agent': True},4633191123,"[{'tags': [{'label': 'road_view', 'probability': 0.72024881839752}, {'label': 'water_front', 'probability': 0.24156728386879}, {'label': 'house_view', 'probability': 0.023932898417115}], 'href': 'https://ap.rdcpix.com/0d7abf86349dbdf13b24314ede04d3d2l-m1473194658s-w1024_h768.jpg'}, {'tags': [{'label': 'floor_plan', 'probability': 0.80713361501694}, {'label': 'road_view', 'probability': 0.08632230758667}, {'label': 'unknown', 'probability': 0.060426339507103}], 'href': 'https://ap.rdcpix.com/0d7abf86349dbdf13b24314ede04d3d2l-m102465288s-w1024_h768.jpg'}, {'tags': [{'label': 'floor_plan', 'probability': 0.96064251661301}, {'label': 'unknown', 'probability': 0.012149572372437}, {'label': 'pool', 'probability': 0.011727851815522}], 'href': 'https://ap.rdcpix.com/0d7abf86349dbdf13b24314ede04d3d2l-m1357918555s-w1024_h768.jpg'}]","{'is_new_construction': None, 'is_for_rent': None, 'is_subdivision': None, 'is_contingent': None, 'is_price_reduced': None, 'is_pending': None, 'is_foreclosure': None, 'is_plan': None, 'is_coming_soon': None, 'is_new_listing': False}",,{'brand_name': 'essentials'},,"{'rdc': [{'listing_id': '2926339696', 'listing_key': None, 'status': 'for_sale', 'primary': True}]}",2926339696,,"{'address': {'postal_code': '48213', 'state': 'Michigan', 'coordinate': {'lon': -83.016566, 'lat': 42.381957}, 'city': 'Detroit', 'state_code': 'MI', 'line': '5764 Van Dyke St'}, 'street_view_url': 'https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5764%20Van%20Dyke%20St%2C%20Detroit%2C%20MI%2048213&size=640x480&source=outdoor&signature=jQxgrT64De-yIfeDjBZ1nGArOVw=', 'county': {'fips_code': '26163', 'name': 'Wayne'}}",False
6,{'href': 'https://ap.rdcpix.com/6d2dd222ae3620aae5b6ee1ad25980e1l-m3560302886s-w1024_h768.jpg'},2021-02-24T21:07:14Z,"{'plan_id': None, 'agents': [{'office_name': None}], 'spec_id': None, 'type': 'mls'}",,5770-Van-Dyke-St_Detroit_MI_48213_M46333-40187,for_sale,2021-02-25T02:10:36Z,,"{'baths_3qtr': None, 'year_built': None, 'sold_price': None, 'baths_full': None, 'name': None, 'baths_half': None, 'lot_sqft': 3485, 'sqft': None, 'baths': 0, 'sub_type': None, 'baths_1qtr': None, 'garage': None, 'stories': None, 'beds': None, 'type': 'land'}","[{'name': 'Keller Williams Legacy', 'photo': None, 'type': 'Office'}]",5000,{'show_contact_an_agent': True},4633340187,"[{'tags': [{'label': 'road_view', 'probability': 0.5322203040123}, {'label': 'house_view', 'probability': 0.26927214860916}, {'label': 'water_front', 'probability': 0.15891742706299}], 'href': 'https://ap.rdcpix.com/6d2dd222ae3620aae5b6ee1ad25980e1l-m3560302886s-w1024_h768.jpg'}, {'tags': [{'label': 'floor_plan', 'probability': 0.80713361501694}, {'label': 'road_view', 'probability': 0.08632230758667}, {'label': 'unknown', 'probability': 0.060426339507103}], 'href': 'https://ap.rdcpix.com/6d2dd222ae3620aae5b6ee1ad25980e1l-m102465288s-w1024_h768.jpg'}, {'tags': [{'label': 'floor_plan', 'probability': 0.96064251661301}, {'label': 'unknown', 'probability': 0.012149572372437}, {'label': 'pool', 'probability': 0.011727851815522}], 'href': 'https://ap.rdcpix.com/6d2dd222ae3620aae5b6ee1ad25980e1l-m1357918555s-w1024_h768.jpg'}]","{'is_new_construction': None, 'is_for_rent': None, 'is_subdivision': None, 'is_contingent': None, 'is_price_reduced': None, 'is_pending': None, 'is_foreclosure': None, 'is_plan': None, 'is_coming_soon': None, 'is_new_listing': False}",,{'brand_name': 'essentials'},,"{'rdc': [{'listing_id': '2926339577', 'listing_key': None, 'status': 'for_sale', 'primary': True}]}",2926339577,,"{'address': {'postal_code': '48213', 'state': 'Michigan', 'coordinate': {'lon': -83.016618, 'lat': 42.38203}, 'city': 'Detroit', 'state_code': 'MI', 'line': '5770 Van Dyke St'}, 'street_view_url': 'https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5770%20Van%20Dyke%20St%2C%20Detroit%2C%20MI%2048213&size=640x480&source=outdoor&signature=LrInTrnBfoO9njtnti6YJKeJfLg=', 'county': {'fips_code': '26163', 'name': 'Wayne'}}",False
7,{'href': 'https://ap.rdcpix.com/e4fa97c11956e2523afe4d3068d11566l-m408831084s-w1024_h768.jpg'},2021-02-24T21:03:12Z,"{'plan_id': None, 'agents': [{'office_name': None}], 'spec_id': None, 'type': 'mls'}",,5776-Van-Dyke-St_Detroit_MI_48213_M46332-28389,for_sale,2021-02-25T02:07:25Z,,"{'baths_3qtr': None, 'year_built': None, 'sold_price': None, 'baths_full': None, 'name': None, 'baths_half': None, 'lot_sqft': 3485, 'sqft': None, 'baths': 0, 'sub_type': None, 'baths_1qtr': None, 'garage': None, 'stories': None, 'beds': None, 'type': 'land'}","[{'name': 'Keller Williams Legacy', 'photo': None, 'type': 'Office'}]",5000,{'show_contact_an_agent': True},4633228389,"[{'tags': [{'label': 'road_view', 'probability': 0.67463463544846}, {'label': 'water_front', 'probability': 0.29721528291702}, {'label': 'farm_land', 'probability': 0.01395171135664}], 'href': 'https://ap.rdcpix.com/e4fa97c11956e2523afe4d3068d11566l-m408831084s-w1024_h768.jpg'}, {'tags': [{'label': 'floor_plan', 'probability': 0.80713361501694}, {'label': 'road_view', 'probability': 0.08632230758667}, {'label': 'unknown', 'probability': 0.060426339507103}], 'href': 'https://ap.rdcpix.com/e4fa97c11956e2523afe4d3068d11566l-m102465288s-w1024_h768.jpg'}, {'tags': [{'label': 'floor_plan', 'probability': 0.96064251661301}, {'label': 'unknown', 'probability': 0.012149572372437}, {'label': 'pool', 'probability': 0.011727851815522}], 'href': 'https://ap.rdcpix.com/e4fa97c11956e2523afe4d3068d11566l-m1357918555s-w1024_h768.jpg'}]","{'is_new_construction': None, 'is_for_rent': None, 'is_subdivision': None, 'is_contingent': None, 'is_price_reduced': None, 'is_pending': None, 'is_foreclosure': None, 'is_plan': None, 'is_coming_soon': None, 'is_new_listing': False}",,{'brand_name': 'essentials'},,"{'rdc': [{'listing_id': '2926339513', 'listing_key': None, 'status': 'for_sale', 'primary': True}]}",2926339513,,"{'address': {'postal_code': '48213', 'state': 'Michigan', 'coordinate': {'lon': -83.01667, 'lat': 42.382103}, 'city': 'Detroit', 'state_code': 'MI', 'line': '5776 Van Dyke St'}, 'street_view_url': 'https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5776%20Van%20Dyke%20St%2C%20Detroit%2C%20MI%2048213&size=640x480&source=outdoor&signature=dU0GbDFf1XL3rz1i7TwwqRfDeyY=', 'county': {'fips_code': '26163', 'name': 'Wayne'}}",False
8,,2021-04-04T15:38:34Z,"{'plan_id': None, 'agents': [{'office_name': None}], 'spec_id': None, 'type': 'mls'}",,1137-Holbrook-St_Detroit_MI_48211_M90471-96262,for_sale,2021-04-04T19:40:33Z,,"{'baths_3qtr': None, 'year_built': None, 'sold_price': None, 'baths_full': None, 'name': None, 'baths_half': None, 'lot_sqft': 4356, 'sqft': None, 'baths': 0, 'sub_type': None, 'baths_1qtr': None, 'garage': None, 'stories': None, 'beds': None, 'type': 'land'}","[{'name': 'Herbert J Hill Realty Real Estate Master', 'photo': None, 'type': 'Office'}]",10000,{'show_contact_an_agent': True},9047196262,,"{'is_new_construction': None, 'is_for_rent': None, 'is_subdivision': None, 'is_contingent': None, 'is_price_reduced': None, 'is_pending': None, 'is_foreclosure': None, 'is_plan': None, 'is_coming_soon': None, 'is_new_listing': True}",,{'brand_name': 'basic_opt_in'},,"{'rdc': [{'listing_id': '2927769438', 'listing_key': None, 'status': 'for_sale', 'primary': True}]}",2927769438,,"{'address': {'postal_code': '48211', 'state': 'Michigan', 'coordinate': {'lon': -83.069569, 'lat': 42.385917}, 'city': 'Detroit', 'state_code': 'MI', 'line': '1137 Holbrook St'}, 'street_view_url': 'https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1137%20Holbrook%20St%2C%20Detroit%2C%20MI%2048211&size=640x480&source=outdoor&signature=uw0p1OpcrZEY1Ld33WRxYnReTNg=', 'county': {'fips_code': '26163', 'name': 'Wayne'}}",False
9,{'href': 'https://ap.rdcpix.com/688b89d3309d8c3a51e0362824e09f06l-m2916563133s-w1024_h768.jpg'},2021-03-29T09:01:13Z,"{'plan_id': None, 'agents': [{'office_name': None}], 'spec_id': None, 'type': 'mls'}",['rental_property'],14835-Prest-St_Detroit_MI_48227_M39231-02286,for_sale,2021-03-25T15:58:01Z,,"{'baths_3qtr': None, 'year_built': None, 'sold_price': 5000, 'baths_full': None, 'name': None, 'baths_half': None, 'lot_sqft': 5227, 'sqft': None, 'baths': 0, 'sub_type': None, 'baths_1qtr': None, 'garage': None, 'stories': None, 'beds': None, 'type': 'land'}","[{'name': 'Supreme Realty', 'photo': None, 'type': 'Office'}]",2900,{'show_contact_an_agent': True},3923102286,"[{'tags': [{'label': 'road_view', 'probability': 0.64978623390198}, {'label': 'farm_land', 'probability': 0.18092845380306}, {'label': 'unknown', 'probability': 0.13028217852116}], 'href': 'https://ap.rdcpix.com/688b89d3309d8c3a51e0362824e09f06l-m2916563133s-w1024_h768.jpg'}]","{'is_new_construction': None, 'is_for_rent': None, 'is_subdivision': None, 'is_contingent': None, 'is_price_reduced': None, 'is_pending': None, 'is_foreclosure': None, 'is_plan': None, 'is_coming_soon': None, 'is_new_listing': False}",,{'brand_name': 'basic_opt_in'},,"{'rdc': [{'listing_id': '2927357265', 'listing_key': None, 'status': 'for_sale', 'primary': True}]}",2927357265,,"{'address': {'postal_code': '48227', 'state': 'Michigan', 'coordinate': {'lon': -83.197703, 'lat': 42.397284}, 'city': 'Detroit', 'state_code': 'MI', 'line': '14835 Prest St'}, 'street_view_url': 'https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=14835%20Prest%20St%2C%20Detroit%2C%20MI%2048227&size=640x480&source=outdoor&signature=nqLqM-pQTZ8ltpf1d4h497gP6ag=', 'county': {'fips_code': '26163', 'name': 'Wayne'}}",False
10,{'href': 'https://ap.rdcpix.com/c053078deee5e2c9c7a5e901e3c121fbl-m2411861146s-w1024_h768.jpg'},2021-02-24T21:42:53Z,"{'plan_id': None, 'agents': [{'office_name': None}], 'spec_id': None, 'type': 'mls'}",,1289-E-Grand-Blvd_Detroit_MI_48211_M37691-78903,for_sale,2021-02-25T02:46:23Z,,"{'baths_3qtr': None, 'year_built': None, 'sold_price': None, 'baths_full': None, 'name': None, 'baths_half': None, 'lot_sqft': 4356, 'sqft': None, 'baths': 0, 'sub_type': None, 'baths_1qtr': None, 'garage': None, 'stories': None, 'beds': None, 'type': 'land'}","[{'name': 'Keller Williams Legacy', 'photo': None, 'type': 'Office'}]",9000,{'show_contact_an_agent': True},3769178903,"[{'tags': [{'label': 'house_view', 'probability': 0.35962969064713}, {'label': 'road_view', 'probability': 0.31923705339432}, {'label': 'water_front', 'probability': 0.12254477292299}], 'href': 'https://ap.rdcpix.com/c053078deee5e2c9c7a5e901e3c121fbl-m2411861146s-w1024_h768.jpg'}, {'tags': [{'label': 'floor_plan', 'probability': 0.80713361501694}, {'label': 'road_view', 'probability': 0.08632230758667}, {'label': 'unknown', 'probability': 0.060426339507103}], 'href': 'https://ap.rdcpix.com/c053078deee5e2c9c7a5e901e3c121fbl-m102465288s-w1024_h768.jpg'}, {'tags': [{'label': 'floor_plan', 'probability': 0.96064251661301}, {'label': 'unknown', 'probability': 0.012149572372437}, {'label': 'pool', 'probability': 0.011727851815522}], 'href': 'https://ap.rdcpix.com/c053078deee5e2c9c7a5e901e3c121fbl-m1357918555s-w1024_h768.jpg'}]","{'is_new_construction': None, 'is_for_rent': None, 'is_subdivision': None, 'is_contingent': None, 'is_price_reduced': None, 'is_pending': None, 'is_foreclosure': None, 'is_plan': None, 'is_coming_soon': None, 'is_new_listing': False}",,{'brand_name': 'essentials'},,"{'rdc': [{'listing_id': '2926340172', 'listing_key': None, 'status': 'for_sale', 'primary': True}]}",2926340172,,"{'address': {'postal_code': '48211', 'state': 'Michigan', 'coordinate': {'lon': -83.021658, 'lat': 42.376954}, 'city': 'Detroit', 'state_code': 'MI', 'line': '1289 E Grand Blvd'}, 'street_view_url': 'https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1289%20E%20Grand%20Blvd%2C%20Detroit%2C%20MI%2048211&size=640x480&source=outdoor&signature=cZ_MoWohzP7f-WFgyooTuUWIJGw=', 'county': {'fips_code': '26163', 'name': 'Wayne'}}",False
